arm,age_group,alpha,mse,n_utterances,n_pairs,n_unique_subjects,n_unique_verbs,status,scope,collection,annotation_scheme
spacy_chat,84-96mo,1.3999999999999997,8.66958502266689e-07,39571,26821,882,621,ok,matched_repository_english,Clinical-Eng;Eng-NA;Eng-UK,spaCy dependency parsing of selected CHAT surface text
spacy_original,overall,1.479999999999999,2.9650493958783e-07,2728212,1901720,9564,3561,ok,matched_repository_english,Clinical-Eng;Eng-NA;Eng-UK,spaCy dependency parsing of matched historical original-gloss text
spacy_original,0-12mo,1.479999999999999,5.842711011661666e-08,69941,36809,844,652,ok,matched_repository_english,Clinical-Eng;Eng-NA;Eng-UK,spaCy dependency parsing of matched historical original-gloss text
spacy_original,12-24mo,1.4499999999999995,1.624557832684931e-07,356114,206629,2518,1260,ok,matched_repository_english,Clinical-Eng;Eng-NA;Eng-UK,spaCy dependency parsing of matched historical original-gloss text
spacy_original,24-36mo,1.479999999999999,2.855691402948846e-07,1226011,858976,5751,2289,ok,matched_repository_english,Clinical-Eng;Eng-NA;Eng-UK,spaCy dependency parsing of matched historical original-gloss text
spacy_original,36-48mo,1.4199999999999997,7.669475032158884e-07,555676,414591,4333,1871,ok,matched_repository_english,Clinical-Eng;Eng-NA;Eng-UK,spaCy dependency parsing of matched historical original-gloss text
spacy_original,48-60mo,1.4199999999999997,1.0369195213664035e-06,358251,268552,3789,1849,ok,matched_repository_english,Clinical-Eng;Eng-NA;Eng-UK,spaCy dependency parsing of matched historical original-gloss text
spacy_original,60-72mo,1.3899999999999997,1.2541031800358245e-06,91419,66708,1455,842,ok,matched_repository_english,Clinical-Eng;Eng-NA;Eng-UK,spaCy dependency parsing of matched historical original-gloss text
spacy_original,72-84mo,1.3799999999999994,1.378049417767628e-06,31229,22410,693,510,ok,matched_repository_english,Clinical-Eng;Eng-NA;Eng-UK,spaCy dependency parsing of matched historical original-gloss text
spacy_original,84-96mo,1.3999999999999997,8.940010692979905e-07,39571,27045,897,630,ok,matched_repository_english,Clinical-Eng;Eng-NA;Eng-UK,spaCy dependency parsing of matched historical original-gloss text
ud_chat,overall,1.4699999999999993,6.279274449286855e-07,969399,466656,4269,2159,ok,matched_eng_na,Eng-NA,Existing Universal Dependencies annotations in selected CHAT transcripts
ud_chat,0-12mo,1.4699999999999993,1.012950530083392e-06,68282,23890,613,589,ok,matched_eng_na,Eng-NA,Existing Universal Dependencies annotations in selected CHAT transcripts
ud_chat,12-24mo,1.4399999999999995,4.015605445207476e-07,204262,76406,1368,937,ok,matched_eng_na,Eng-NA,Existing Universal Dependencies annotations in selected CHAT transcripts
ud_chat,24-36mo,1.4099999999999997,9.1795143915731e-07,266001,136470,2024,1138,ok,matched_eng_na,Eng-NA,Existing Universal Dependencies annotations in selected CHAT transcripts
ud_chat,36-48mo,1.4099999999999997,8.033323617171602e-07,162502,87372,1749,1016,ok,matched_eng_na,Eng-NA,Existing Universal Dependencies annotations in selected CHAT transcripts
ud_chat,48-60mo,1.4199999999999997,3.335857743060187e-06,199456,107207,2079,1303,ok,matched_eng_na,Eng-NA,Existing Universal Dependencies annotations in selected CHAT transcripts
ud_chat,60-72mo,1.3899999999999997,2.008971292410412e-06,42416,22730,713,604,ok,matched_eng_na,Eng-NA,Existing Universal Dependencies annotations in selected CHAT transcripts
ud_chat,72-84mo,1.2399999999999995,4.953399328632037e-06,7639,4209,192,280,ok,matched_eng_na,Eng-NA,Existing Universal Dependencies annotations in selected CHAT transcripts
ud_chat,84-96mo,1.3299999999999994,6.955334037543626e-06,18841,8372,358,429,ok,matched_eng_na,Eng-NA,Existing Universal Dependencies annotations in selected CHAT transcripts
spacy_chat,overall,1.4499999999999995,3.821510177832887e-07,969399,669790,5633,2334,ok,matched_eng_na,Eng-NA,spaCy dependency parsing of selected CHAT surface text
spacy_chat,0-12mo,1.489999999999999,8.051133096395301e-08,68282,35380,816,620,ok,matched_eng_na,Eng-NA,spaCy dependency parsing of selected CHAT surface text
spacy_chat,12-24mo,1.4299999999999995,2.7490858198949537e-07,204262,117712,1799,1009,ok,matched_eng_na,Eng-NA,spaCy dependency parsing of selected CHAT surface text
spacy_chat,24-36mo,1.4099999999999997,5.111559001021449e-07,266001,198972,2624,1205,ok,matched_eng_na,Eng-NA,spaCy dependency parsing of selected CHAT surface text
spacy_chat,36-48mo,1.4099999999999997,6.148057532204926e-07,162502,123119,2247,1082,ok,matched_eng_na,Eng-NA,spaCy dependency parsing of selected CHAT surface text
spacy_chat,48-60mo,1.4199999999999997,1.6649043346431923e-06,199456,146479,2673,1395,ok,matched_eng_na,Eng-NA,spaCy dependency parsing of selected CHAT surface text
spacy_chat,60-72mo,1.4399999999999995,1.4063580614804278e-06,42416,31000,913,654,ok,matched_eng_na,Eng-NA,spaCy dependency parsing of selected CHAT surface text
spacy_chat,72-84mo,1.3199999999999994,6.480446047942863e-06,7639,5645,246,289,ok,matched_eng_na,Eng-NA,spaCy dependency parsing of selected CHAT surface text
spacy_chat,84-96mo,1.3799999999999994,6.132855978462943e-06,18841,11483,495,461,ok,matched_eng_na,Eng-NA,spaCy dependency parsing of selected CHAT surface text
spacy_original,overall,1.4499999999999995,3.632233489432986e-07,969399,677116,5757,2470,ok,matched_eng_na,Eng-NA,spaCy dependency parsing of matched historical original-gloss text
spacy_original,0-12mo,1.479999999999999,8.755193397613563e-08,68282,35811,838,652,ok,matched_eng_na,Eng-NA,spaCy dependency parsing of matched historical original-gloss text
spacy_original,12-24mo,1.4199999999999997,2.4174258816819444e-07,204262,120309,1863,1054,ok,matched_eng_na,Eng-NA,spaCy dependency parsing of matched historical original-gloss text
spacy_original,24-36mo,1.4099999999999997,5.516754060379297e-07,266001,201543,2675,1274,ok,matched_eng_na,Eng-NA,spaCy dependency parsing of matched historical original-gloss text
spacy_original,36-48mo,1.4099999999999997,5.834781177946148e-07,162502,123900,2274,1100,ok,matched_eng_na,Eng-NA,spaCy dependency parsing of matched historical original-gloss text
spacy_original,48-60mo,1.4099999999999997,1.5534595959709912e-06,199456,147270,2711,1459,ok,matched_eng_na,Eng-NA,spaCy dependency parsing of matched historical original-gloss text
spacy_original,60-72mo,1.4399999999999995,1.3258202321390305e-06,42416,31104,906,660,ok,matched_eng_na,Eng-NA,spaCy dependency parsing of matched historical original-gloss text
spacy_original,72-84mo,1.3199999999999994,6.512624386963998e-06,7639,5654,260,291,ok,matched_eng_na,Eng-NA,spaCy dependency parsing of matched historical original-gloss text
spacy_original,84-96mo,1.3899999999999997,5.082472371299407e-06,18841,11525,496,464,ok,matched_eng_na,Eng-NA,spaCy dependency parsing of matched historical original-gloss text
