collection,transcript,reason
Eng-NA,Braunwald/0diary/010703.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010704.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010705.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010706.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010707.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010708.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010709.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010710.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010711.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010713.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010714.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010715.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010716.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010717.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010718.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010719.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010720.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010721.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010722.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010723.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010724.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010725.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010726.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010727.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010728.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010729.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010730.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010801.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010802.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010803.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010804.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010805.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010806.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010807.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010808.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010810.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010811.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010812.cha,weak_text_identity
