age_group,source,position,verb
12-24mo,spacy,34,talk
12-24mo,spacy,35,hold
12-24mo,spacy,36,show
12-24mo,spacy,37,happen
12-24mo,spacy,38,draw
12-24mo,spacy,39,fit
12-24mo,spacy,40,call
12-24mo,spacy,41,push
12-24mo,spacy,42,mean
12-24mo,spacy,43,let
12-24mo,spacy,44,can
12-24mo,spacy,45,remember
12-24mo,spacy,46,bring
12-24mo,spacy,47,pick
12-24mo,spacy,48,use
12-24mo,spacy,49,wear
12-24mo,spacy,50,leave
12-24mo,spacy,51,work
12-24mo,spacy,52,feel
12-24mo,spacy,53,drink
12-24mo,spacy,54,move
12-24mo,spacy,55,fix
12-24mo,spacy,56,stay
12-24mo,spacy,57,sleep
12-24mo,spacy,58,sing
12-24mo,spacy,59,pull
12-24mo,spacy,60,keep
12-24mo,spacy,61,hurt
12-24mo,spacy,62,walk
12-24mo,spacy,63,close
12-24mo,spacy,64,run
12-24mo,spacy,65,s
12-24mo,spacy,66,finish
12-24mo,spacy,67,build
12-24mo,spacy,68,den
12-24mo,spacy,69,stand
12-24mo,spacy,70,break
12-24mo,spacy,71,cry
12-24mo,spacy,72,feed
12-24mo,spacy,73,roll
12-24mo,spacy,74,live
12-24mo,spacy,75,will
12-24mo,spacy,76,catch
12-24mo,spacy,77,color
12-24mo,spacy,78,hide
12-24mo,spacy,79,touch
12-24mo,spacy,80,guess
12-24mo,spacy,81,ask
12-24mo,spacy,82,stop
12-24mo,spacy,83,stick
12-24mo,spacy,84,write
12-24mo,spacy,85,jump
12-24mo,spacy,86,sound
12-24mo,spacy,87,drive
12-24mo,spacy,88,wash
12-24mo,spacy,89,needta
12-24mo,spacy,90,start
12-24mo,spacy,91,miss
12-24mo,spacy,92,clean
12-24mo,spacy,93,blow
12-24mo,spacy,94,watch
12-24mo,spacy,95,brush
12-24mo,spacy,96,drop
12-24mo,spacy,97,kiss
12-24mo,spacy,98,cook
12-24mo,spacy,99,hafta
12-24mo,spacy,100,rid
12-24mo,ud,1,go
12-24mo,ud,2,want
12-24mo,ud,3,be
12-24mo,ud,4,do
12-24mo,ud,5,have
12-24mo,ud,6,get
12-24mo,ud,7,know
12-24mo,ud,8,say
12-24mo,ud,9,like
12-24mo,ud,10,think
12-24mo,ud,11,put
12-24mo,ud,12,see
12-24mo,ud,13,come
12-24mo,ud,14,look
12-24mo,ud,15,play
12-24mo,ud,16,make
12-24mo,ud,17,need
12-24mo,ud,18,eat
12-24mo,ud,19,take
12-24mo,ud,20,find
12-24mo,ud,21,sit
12-24mo,ud,22,give
12-24mo,ud,23,try
12-24mo,ud,24,turn
12-24mo,ud,25,fall
12-24mo,ud,26,love
12-24mo,ud,27,tell
12-24mo,ud,28,hear
12-24mo,ud,29,read
12-24mo,ud,30,throw
12-24mo,ud,31,open
12-24mo,ud,32,fit
12-24mo,ud,33,help
12-24mo,ud,34,talk
12-24mo,ud,35,hold
12-24mo,ud,36,show
12-24mo,ud,37,pick
12-24mo,ud,38,mean
12-24mo,ud,39,remember
12-24mo,ud,40,can
12-24mo,ud,41,draw
12-24mo,ud,42,use
12-24mo,ud,43,push
12-24mo,ud,44,call
12-24mo,ud,45,stay
12-24mo,ud,46,happen
12-24mo,ud,47,blow
12-24mo,ud,48,begin
12-24mo,ud,49,work
12-24mo,ud,50,bring
12-24mo,ud,51,drink
12-24mo,ud,52,cook
12-24mo,ud,53,guess
12-24mo,ud,54,leave
12-24mo,ud,55,feel
12-24mo,ud,56,start
12-24mo,ud,57,feed
12-24mo,ud,58,let
12-24mo,ud,59,stop
12-24mo,ud,60,ride
12-24mo,ud,61,fix
12-24mo,ud,62,move
12-24mo,ud,63,walk
12-24mo,ud,64,run
12-24mo,ud,65,keep
12-24mo,ud,66,wear
12-24mo,ud,67,sing
12-24mo,ud,68,build
12-24mo,ud,69,hurt
12-24mo,ud,70,pull
12-24mo,ud,71,pop
12-24mo,ud,72,close
12-24mo,ud,73,break
12-24mo,ud,74,cry
12-24mo,ud,75,drop
12-24mo,ud,76,touch
12-24mo,ud,77,bet
12-24mo,ud,78,sleep
12-24mo,ud,79,knock
12-24mo,ud,80,jump
12-24mo,ud,81,wash
12-24mo,ud,82,recognize
12-24mo,ud,83,catch
12-24mo,ud,84,stand
12-24mo,ud,85,roll
12-24mo,ud,86,write
12-24mo,ud,87,will
12-24mo,ud,88,ask
12-24mo,ud,89,dance
12-24mo,ud,90,miss
12-24mo,ud,91,seem
12-24mo,ud,92,sound
12-24mo,ud,93,hide
12-24mo,ud,94,live
12-24mo,ud,95,taste
12-24mo,ud,96,understand
12-24mo,ud,97,forget
12-24mo,ud,98,point
12-24mo,ud,99,fly
12-24mo,ud,100,smell
24-36mo,spacy,1,be
24-36mo,spacy,2,go
24-36mo,spacy,3,do
24-36mo,spacy,4,have
24-36mo,spacy,5,get
24-36mo,spacy,6,think
24-36mo,spacy,7,see
24-36mo,spacy,8,know
24-36mo,spacy,9,want
24-36mo,spacy,10,put
24-36mo,spacy,11,say
24-36mo,spacy,12,like
24-36mo,spacy,13,wanna
24-36mo,spacy,14,look
24-36mo,spacy,15,come
24-36mo,spacy,16,make
24-36mo,spacy,17,take
24-36mo,spacy,18,play
24-36mo,spacy,19,eat
24-36mo,spacy,20,need
24-36mo,spacy,21,find
24-36mo,spacy,22,tell
24-36mo,spacy,23,sit
24-36mo,spacy,24,give
24-36mo,spacy,25,happen
24-36mo,spacy,26,fall
24-36mo,spacy,27,can
24-36mo,spacy,28,remember
24-36mo,spacy,29,try
24-36mo,spacy,30,mean
24-36mo,spacy,31,read
24-36mo,spacy,32,will
24-36mo,spacy,33,die
24-36mo,spacy,34,help
24-36mo,spacy,35,hear
24-36mo,spacy,36,talk
24-36mo,spacy,37,use
24-36mo,spacy,38,show
24-36mo,spacy,39,hold
24-36mo,spacy,40,fit
24-36mo,spacy,41,hurt
24-36mo,spacy,42,finish
24-36mo,spacy,43,open
24-36mo,spacy,44,call
24-36mo,spacy,45,bring
24-36mo,spacy,46,turn
24-36mo,spacy,47,draw
24-36mo,spacy,48,buy
24-36mo,spacy,49,wear
24-36mo,spacy,50,break
24-36mo,spacy,51,keep
24-36mo,spacy,52,sing
24-36mo,spacy,53,work
24-36mo,spacy,54,leave
24-36mo,spacy,55,love
24-36mo,spacy,56,watch
24-36mo,spacy,57,sleep
24-36mo,spacy,58,feel
24-36mo,spacy,59,let
24-36mo,spacy,60,move
24-36mo,spacy,61,throw
24-36mo,spacy,62,cry
24-36mo,spacy,63,run
24-36mo,spacy,64,ask
24-36mo,spacy,65,pick
24-36mo,spacy,66,live
24-36mo,spacy,67,stand
24-36mo,spacy,68,stay
24-36mo,spacy,69,build
24-36mo,spacy,70,start
24-36mo,spacy,71,needta
24-36mo,spacy,72,drive
24-36mo,spacy,73,cut
24-36mo,spacy,74,pull
24-36mo,spacy,75,hide
24-36mo,spacy,76,fix
24-36mo,spacy,77,write
24-36mo,spacy,78,stick
24-36mo,spacy,79,wait
24-36mo,spacy,80,drink
24-36mo,spacy,81,walk
24-36mo,spacy,82,wash
24-36mo,spacy,83,push
24-36mo,spacy,84,jump
24-36mo,spacy,85,drop
24-36mo,spacy,86,stop
24-36mo,spacy,87,pretend
24-36mo,spacy,88,lose
24-36mo,spacy,89,miss
24-36mo,spacy,90,wonder
24-36mo,spacy,91,count
24-36mo,spacy,92,bet
24-36mo,spacy,93,sound
24-36mo,spacy,94,catch
24-36mo,spacy,95,blow
24-36mo,spacy,96,fly
24-36mo,spacy,97,guess
24-36mo,spacy,98,would
24-36mo,spacy,99,den
24-36mo,spacy,100,hafta
24-36mo,ud,1,go
24-36mo,ud,2,do
24-36mo,ud,3,want
24-36mo,ud,4,have
24-36mo,ud,5,be
24-36mo,ud,6,get
24-36mo,ud,7,think
24-36mo,ud,8,know
24-36mo,ud,9,like
24-36mo,ud,10,see
24-36mo,ud,11,put
24-36mo,ud,12,say
24-36mo,ud,13,need
24-36mo,ud,14,look
24-36mo,ud,15,make
24-36mo,ud,16,come
24-36mo,ud,17,eat
24-36mo,ud,18,play
24-36mo,ud,19,take
24-36mo,ud,20,find
24-36mo,ud,21,give
24-36mo,ud,22,tell
24-36mo,ud,23,fall
24-36mo,ud,24,remember
24-36mo,ud,25,sit
24-36mo,ud,26,fit
24-36mo,ud,27,happen
24-36mo,ud,28,try
24-36mo,ud,29,mean
24-36mo,ud,30,love
24-36mo,ud,31,help
24-36mo,ud,32,turn
24-36mo,ud,33,use
24-36mo,ud,34,hear
24-36mo,ud,35,can
24-36mo,ud,36,work
24-36mo,ud,37,talk
24-36mo,ud,38,open
24-36mo,ud,39,bring
24-36mo,ud,40,hold
24-36mo,ud,41,wear
24-36mo,ud,42,read
24-36mo,ud,43,show
24-36mo,ud,44,guess
24-36mo,ud,45,hurt
24-36mo,ud,46,pop
24-36mo,ud,47,pick
24-36mo,ud,48,drink
24-36mo,ud,49,start
24-36mo,ud,50,sleep
24-36mo,ud,51,build
24-36mo,ud,52,knock
24-36mo,ud,53,cook
24-36mo,ud,54,blow
24-36mo,ud,55,ask
24-36mo,ud,56,stay
24-36mo,ud,57,stop
24-36mo,ud,58,run
24-36mo,ud,59,fix
24-36mo,ud,60,call
24-36mo,ud,61,leave
24-36mo,ud,62,throw
24-36mo,ud,63,feel
24-36mo,ud,64,draw
24-36mo,ud,65,sing
24-36mo,ud,66,let
24-36mo,ud,67,move
24-36mo,ud,68,keep
24-36mo,ud,69,bet
24-36mo,ud,70,drive
24-36mo,ud,71,break
24-36mo,ud,72,stand
24-36mo,ud,73,push
24-36mo,ud,74,cry
24-36mo,ud,75,buy
24-36mo,ud,76,wait
24-36mo,ud,77,pretend
24-36mo,ud,78,dance
24-36mo,ud,79,wash
24-36mo,ud,80,write
24-36mo,ud,81,live
24-36mo,ud,82,ride
24-36mo,ud,83,seem
24-36mo,ud,84,pull
24-36mo,ud,85,watch
24-36mo,ud,86,wonder
24-36mo,ud,87,will
24-36mo,ud,88,drop
24-36mo,ud,89,jump
24-36mo,ud,90,walk
24-36mo,ud,91,feed
24-36mo,ud,92,finish
24-36mo,ud,93,miss
24-36mo,ud,94,catch
24-36mo,ud,95,cut
24-36mo,ud,96,forget
24-36mo,ud,97,hide
24-36mo,ud,98,begin
24-36mo,ud,99,fly
24-36mo,ud,100,hit
36-48mo,spacy,1,be
36-48mo,spacy,2,go
36-48mo,spacy,3,do
36-48mo,spacy,4,have
36-48mo,spacy,5,get
36-48mo,spacy,6,think
36-48mo,spacy,7,know
36-48mo,spacy,8,see
36-48mo,spacy,9,say
36-48mo,spacy,10,want
36-48mo,spacy,11,put
36-48mo,spacy,12,like
36-48mo,spacy,13,wanna
36-48mo,spacy,14,look
36-48mo,spacy,15,come
36-48mo,spacy,16,make
36-48mo,spacy,17,happen
36-48mo,spacy,18,eat
36-48mo,spacy,19,take
36-48mo,spacy,20,need
36-48mo,spacy,21,play
36-48mo,spacy,22,tell
36-48mo,spacy,23,find
36-48mo,spacy,24,give
36-48mo,spacy,25,remember
36-48mo,spacy,26,can
36-48mo,spacy,27,sit
36-48mo,spacy,28,try
36-48mo,spacy,29,mean
36-48mo,spacy,30,fall
36-48mo,spacy,31,die
36-48mo,spacy,32,will
36-48mo,spacy,33,read
36-48mo,spacy,34,use
36-48mo,spacy,35,show
36-48mo,spacy,36,hear
36-48mo,spacy,37,help
36-48mo,spacy,38,call
36-48mo,spacy,39,bring
36-48mo,spacy,40,finish
36-48mo,spacy,41,talk
36-48mo,spacy,42,turn
36-48mo,spacy,43,start
36-48mo,spacy,44,buy
36-48mo,spacy,45,work
36-48mo,spacy,46,hurt
36-48mo,spacy,47,hold
36-48mo,spacy,48,run
36-48mo,spacy,49,leave
36-48mo,spacy,50,open
36-48mo,spacy,51,siapa
36-48mo,spacy,52,love
36-48mo,spacy,53,keep
36-48mo,spacy,54,fit
36-48mo,spacy,55,live
36-48mo,spacy,56,break
36-48mo,spacy,57,draw
36-48mo,spacy,58,feel
36-48mo,spacy,59,sleep
36-48mo,spacy,60,let
36-48mo,spacy,61,ask
36-48mo,spacy,62,watch
36-48mo,spacy,63,move
36-48mo,spacy,64,stay
36-48mo,spacy,65,walk
36-48mo,spacy,66,needta
36-48mo,spacy,67,sing
36-48mo,spacy,68,pick
36-48mo,spacy,69,wear
36-48mo,spacy,70,wait
36-48mo,spacy,71,stand
36-48mo,spacy,72,cry
36-48mo,spacy,73,drive
36-48mo,spacy,74,miss
36-48mo,spacy,75,cut
36-48mo,spacy,76,wonder
36-48mo,spacy,77,throw
36-48mo,spacy,78,hafta
36-48mo,spacy,79,stick
36-48mo,spacy,80,ist
36-48mo,spacy,81,guess
36-48mo,spacy,82,bet
36-48mo,spacy,83,build
36-48mo,spacy,84,pretend
36-48mo,spacy,85,apa
36-48mo,spacy,86,fix
36-48mo,spacy,87,jump
36-48mo,spacy,88,catch
36-48mo,spacy,89,fly
36-48mo,spacy,90,would
36-48mo,spacy,91,hide
36-48mo,spacy,92,stop
36-48mo,spacy,93,lose
36-48mo,spacy,94,sound
36-48mo,spacy,95,pull
36-48mo,spacy,96,push
36-48mo,spacy,97,grow
36-48mo,spacy,98,m
36-48mo,spacy,99,forget
36-48mo,spacy,100,drink
36-48mo,ud,1,go
36-48mo,ud,2,do
36-48mo,ud,3,have
36-48mo,ud,4,want
36-48mo,ud,5,get
36-48mo,ud,6,be
36-48mo,ud,7,know
36-48mo,ud,8,think
36-48mo,ud,9,like
36-48mo,ud,10,see
36-48mo,ud,11,say
36-48mo,ud,12,put
36-48mo,ud,13,look
36-48mo,ud,14,come
36-48mo,ud,15,make
36-48mo,ud,16,eat
36-48mo,ud,17,need
36-48mo,ud,18,take
36-48mo,ud,19,tell
36-48mo,ud,20,play
36-48mo,ud,21,happen
36-48mo,ud,22,give
36-48mo,ud,23,remember
36-48mo,ud,24,find
36-48mo,ud,25,mean
36-48mo,ud,26,sit
36-48mo,ud,27,fall
36-48mo,ud,28,try
36-48mo,ud,29,fit
36-48mo,ud,30,use
36-48mo,ud,31,can
36-48mo,ud,32,bring
36-48mo,ud,33,help
36-48mo,ud,34,work
36-48mo,ud,35,talk
36-48mo,ud,36,hear
36-48mo,ud,37,show
36-48mo,ud,38,turn
36-48mo,ud,39,call
36-48mo,ud,40,run
36-48mo,ud,41,stay
36-48mo,ud,42,read
36-48mo,ud,43,buy
36-48mo,ud,44,hurt
36-48mo,ud,45,hold
36-48mo,ud,46,ask
36-48mo,ud,47,open
36-48mo,ud,48,feel
36-48mo,ud,49,walk
36-48mo,ud,50,live
36-48mo,ud,51,leave
36-48mo,ud,52,guess
36-48mo,ud,53,start
36-48mo,ud,54,will
36-48mo,ud,55,wear
36-48mo,ud,56,break
36-48mo,ud,57,love
36-48mo,ud,58,keep
36-48mo,ud,59,drive
36-48mo,ud,60,build
36-48mo,ud,61,watch
36-48mo,ud,62,pick
36-48mo,ud,63,sleep
36-48mo,ud,64,move
36-48mo,ud,65,drink
36-48mo,ud,66,forget
36-48mo,ud,67,bet
36-48mo,ud,68,jump
36-48mo,ud,69,let
36-48mo,ud,70,wonder
36-48mo,ud,71,wait
36-48mo,ud,72,fix
36-48mo,ud,73,finish
36-48mo,ud,74,pretend
36-48mo,ud,75,miss
36-48mo,ud,76,push
36-48mo,ud,77,ride
36-48mo,ud,78,catch
36-48mo,ud,79,stand
36-48mo,ud,80,fly
36-48mo,ud,81,cry
36-48mo,ud,82,throw
36-48mo,ud,83,blow
36-48mo,ud,84,begin
36-48mo,ud,85,lose
36-48mo,ud,86,knock
36-48mo,ud,87,sound
36-48mo,ud,88,stop
36-48mo,ud,89,choose
36-48mo,ud,90,sing
36-48mo,ud,91,hit
36-48mo,ud,92,learn
36-48mo,ud,93,hide
36-48mo,ud,94,wash
36-48mo,ud,95,pull
36-48mo,ud,96,draw
36-48mo,ud,97,hope
36-48mo,ud,98,drop
36-48mo,ud,99,grow
36-48mo,ud,100,spill
48-60mo,spacy,1,be
48-60mo,spacy,2,go
48-60mo,spacy,3,do
48-60mo,spacy,4,have
48-60mo,spacy,5,know
48-60mo,spacy,6,get
48-60mo,spacy,7,think
48-60mo,spacy,8,see
48-60mo,spacy,9,say
48-60mo,spacy,10,want
48-60mo,spacy,11,tell
48-60mo,spacy,12,like
48-60mo,spacy,13,look
48-60mo,spacy,14,come
48-60mo,spacy,15,put
48-60mo,spacy,16,wanna
48-60mo,spacy,17,make
48-60mo,spacy,18,eat
48-60mo,spacy,19,take
48-60mo,spacy,20,play
48-60mo,spacy,21,happen
48-60mo,spacy,22,need
48-60mo,spacy,23,mean
48-60mo,spacy,24,hear
48-60mo,spacy,25,can
48-60mo,spacy,26,remember
48-60mo,spacy,27,give
48-60mo,spacy,28,find
48-60mo,spacy,29,talk
