original_transcript_id,n_current_transcripts,current_transcripts
10843,2,NewmanRatner/10/4814BS.cha;NewmanRatner/Interviews/10/4814BS.cha
10844,2,NewmanRatner/10/4858CM.cha;NewmanRatner/Interviews/10/4858CM.cha
10845,2,NewmanRatner/10/4866AC.cha;NewmanRatner/Interviews/10/4866AC.cha
10846,2,NewmanRatner/10/4825GG.cha;NewmanRatner/Interviews/10/4825GG.cha
10847,2,NewmanRatner/10/4903LS.cha;NewmanRatner/Interviews/10/4903LS.cha
10848,2,NewmanRatner/10/4929MM.cha;NewmanRatner/Interviews/10/4929MM.cha
10849,2,NewmanRatner/10/5013LA.cha;NewmanRatner/Interviews/10/5013LA.cha
10850,2,NewmanRatner/10/4946RC.cha;NewmanRatner/Interviews/10/4946RC.cha
10851,2,NewmanRatner/10/4997LM.cha;NewmanRatner/Interviews/10/4997LM.cha
10852,2,NewmanRatner/10/5039MB.cha;NewmanRatner/Interviews/10/5039MB.cha
10853,2,NewmanRatner/10/5057MS.cha;NewmanRatner/Interviews/10/5057MS.cha
10854,2,NewmanRatner/10/5066WT.cha;NewmanRatner/Interviews/10/5066WT.cha
10856,2,NewmanRatner/10/5118PM.cha;NewmanRatner/Interviews/10/5118PM.cha
10857,2,NewmanRatner/10/5111CG.cha;NewmanRatner/Interviews/10/5111CG.cha
10862,2,NewmanRatner/10/5244SE.cha;NewmanRatner/Interviews/10/5244SE.cha
10868,2,NewmanRatner/10/5449NG.cha;NewmanRatner/Interviews/10/5449NG.cha
10871,2,NewmanRatner/10/5540LD.cha;NewmanRatner/Interviews/10/5540LD.cha
10872,2,NewmanRatner/10/5440JJ.cha;NewmanRatner/Interviews/10/5440JJ.cha
10874,2,NewmanRatner/10/5550VS.cha;NewmanRatner/Interviews/10/5550VS.cha
10876,2,NewmanRatner/10/5561AC.cha;NewmanRatner/Interviews/10/5561AC.cha
10879,2,NewmanRatner/10/5593SH.cha;NewmanRatner/Interviews/10/5593SH.cha
10884,2,NewmanRatner/10/5694MC.cha;NewmanRatner/Interviews/10/5694MC.cha
10888,2,NewmanRatner/10/5794ES.cha;NewmanRatner/Interviews/10/5794ES.cha
