collection,corpus,transcript,original_transcript_id,status,unique_matching_utterances,runner_up_matches,total_matching_utterances,original_target_child,original_age_months,original_n_utterances,chat_target_child,chat_age_months,original_id_used_by_multiple_current_transcripts,original_age_raw,original_metadata_join,current_age_raw,current_age_status,parse_status,current_metadata_join,current_age_months,original_age_usable,current_age_usable,age_combination,absolute_age_difference_months,age_conflict_gt_0_1_month
Eng-NA,NewmanRatner,NewmanRatner/Interviews/24/5965PC.cha,11197,high_confidence_text_match,35,0,35,5965PC24,24.0004928232613,115,,,True,24.0004928232613,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,NewmanRatner,NewmanRatner/Interviews/24/5977QJ.cha,11199,high_confidence_text_match,48,0,48,5977QJ24,24.0004928232613,182,,,True,24.0004928232613,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,NewmanRatner,NewmanRatner/Interviews/24/6598JM.cha,11209,high_confidence_text_match,39,0,39,6598JM24,24.0004928232613,164,,,True,24.0004928232613,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,NewmanRatner,NewmanRatner/Interviews/24/7553JT.cha,11238,high_confidence_text_match,53,0,53,7553JT24,24.0004928232613,161,,,True,24.0004928232613,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Peters,Peters/020103a.cha,4244,high_confidence_text_match,12,0,12,Seth,25.0990780098154,428,,,True,25.0990780098154,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Rollins,Rollins/cb09.cha,4531,high_confidence_text_match,6,0,6,NA,9.00018480872297,277,,,False,9.00018480872297,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Rollins,Rollins/cb12.cha,4528,high_confidence_text_match,5,0,5,NA,12.0002464116306,363,,,False,12.0002464116306,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Rollins,Rollins/di06.cha,4568,high_confidence_text_match,5,0,5,David,20.000410686051,317,,,False,20.000410686051,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Rollins,Rollins/di09.cha,4569,high_confidence_text_match,11,0,11,NA,9.00018480872297,416,,,False,9.00018480872297,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Rollins,Rollins/di12.cha,4570,high_confidence_text_match,8,0,8,NA,12.0002464116306,616,,,False,12.0002464116306,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Rollins,Rollins/gb09.cha,4587,high_confidence_text_match,7,0,7,NA,9.00018480872297,378,,,False,9.00018480872297,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Rollins,Rollins/hp09.cha,4604,high_confidence_text_match,7,0,7,NA,9.00018480872297,633,,,False,9.00018480872297,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Rollins,Rollins/im06.cha,4605,high_confidence_text_match,8,0,8,NA,6.00012320581531,216,,,False,6.00012320581531,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
