collection,corpus,state,n_utterances
Eng-UK,Thomas,analysis_eligible,343985
Eng-UK,Tommerdahl,missing_text,218
Eng-UK,Wells,missing_text,2024
Eng-UK,Tommerdahl,missing_age_after_text,604
Eng-UK,Tommerdahl,analysis_eligible,12188
Eng-UK,Wells,analysis_eligible,43670
Eng-NA,Menn,missing_text,177
Eng-NA,Providence,missing_text,710
Eng-NA,Menn,analysis_eligible,2581
Eng-NA,Penney,analysis_eligible,656
Eng-NA,Providence,analysis_eligible,214188
